custID2	custName2	Textbox11	Textbox14	Group1	Textbox37	Textbox38	meternum	datetimeread	kwh	kw
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	6:30 AM	3	12
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	6:45 AM	3	12
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	7:00 AM	3	12
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	7:15 AM	4	14
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	7:30 AM	3	14
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	7:45 AM	3	12
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	8:00 AM	3	12
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	8:15 AM	4	14
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	8:30 AM	4	16
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	8:45 AM	4	16
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	9:00 AM	5	18
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	9:15 AM	4	18
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	9:30 AM	4	16
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	9:45 AM	4	16
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	10:00 AM	5	18
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	10:15 AM	4	18
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	10:30 AM	4	16
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	10:45 AM	5	18
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	11:00 AM	4	18
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	11:15 AM	4	16
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	11:30 AM	4	16
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	11:45 AM	5	18
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	12:00 PM	4	18
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	12:15 PM	4	16
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	12:30 PM	4	16
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	12:45 PM	5	18
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	1:00 PM	4	18
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	1:15 PM	4	16
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	1:30 PM	4	16
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	1:45 PM	4	16
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	2:00 PM	4	16
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	2:15 PM	4	16
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	2:30 PM	4	16
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	2:45 PM	3	14
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	3:00 PM	5	16
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	3:15 PM	4	18
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	3:30 PM	4	16
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	3:45 PM	4	16
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	4:00 PM	4	16
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	4:15 PM	4	16
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	4:30 PM	4	16
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	4:45 PM	5	18
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	5:00 PM	4	18
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	5:15 PM	4	16
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	5:30 PM	3	14
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	5:45 PM	3	12
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	6:00 PM	3	12
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	6:15 PM	4	14
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	6:30 PM	3	14
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	6:45 PM	3	12
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	7:00 PM	3	12
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	7:15 PM	3	12
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	7:30 PM	4	14
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	7:45 PM	3	14
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	8:00 PM	3	12
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	8:15 PM	3	12
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	8:30 PM	4	14
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	8:45 PM	3	14
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	9:00 PM	3	12
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	9:15 PM	3	12
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	9:30 PM	3	12
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	9:45 PM	3	12
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	10:00 PM	4	14
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	10:15 PM	3	14
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	10:30 PM	3	12
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	10:45 PM	3	12
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	11:00 PM	3	12
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	11:15 PM	3	12
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	11:30 PM	3	12
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	11:45 PM	4	14
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	10:30 AM	1157	0
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	10:45 AM	7	0
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	11:00 AM	7	28
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	11:15 AM	8	30
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	11:30 AM	7	30
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	11:45 AM	8	30
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	12:00 PM	7	30
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	12:15 PM	8	30
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	12:30 PM	7	30
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	12:45 PM	7	28
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	1:00 PM	8	30
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	1:15 PM	7	30
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	1:30 PM	8	30
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	1:45 PM	8	32
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	2:00 PM	7	30
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	2:15 PM	8	30
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	2:30 PM	8	32
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	2:45 PM	7	30
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	3:00 PM	8	30
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	3:15 PM	7	30
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	3:30 PM	8	30
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	3:45 PM	7	30
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	4:00 PM	8	30
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	4:15 PM	7	30
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	4:30 PM	8	30
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	4:45 PM	7	30
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	5:00 PM	7	28
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	5:15 PM	8	30
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	5:30 PM	7	30
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	5:45 PM	7	28
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	6:00 PM	7	28
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	6:15 PM	6	26
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	6:30 PM	7	26
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	6:45 PM	7	28
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	7:00 PM	7	28
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	7:15 PM	6	26
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	7:30 PM	7	26
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	7:45 PM	6	26
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	8:00 PM	7	26
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	8:15 PM	6	26
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	8:30 PM	6	24
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	8:45 PM	6	24
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	9:00 PM	6	24
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	9:15 PM	6	24
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	9:30 PM	6	24
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	9:45 PM	6	24
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	10:00 PM	6	24
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	10:15 PM	6	24
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	10:30 PM	6	24
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	10:45 PM	5	22
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	11:00 PM	6	22
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	11:15 PM	5	22
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	11:30 PM	6	22
345P-LADDE	LADDER CAPITAL	kWh	KW	5/13/2012	1863	32	345P11	11:45 PM	6	24
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	12:00 AM	3	14
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	12:15 AM	3	12
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	12:30 AM	3	12
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	12:45 AM	3	12
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	1:00 AM	3	12
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	1:15 AM	4	14
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	1:30 AM	3	14
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	1:45 AM	3	12
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	2:00 AM	3	12
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	2:15 AM	3	12
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	2:30 AM	3	12
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	2:45 AM	3	12
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	3:00 AM	4	14
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	3:15 AM	3	14
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	3:30 AM	3	12
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	3:45 AM	3	12
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	4:00 AM	3	12
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	4:15 AM	3	12
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	4:30 AM	4	14
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	4:45 AM	3	14
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	5:00 AM	3	12
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	5:15 AM	3	12
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	5:30 AM	3	12
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	5:45 AM	4	14
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	6:00 AM	4	16
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	6:15 AM	4	16
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	6:30 AM	5	18
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	6:45 AM	4	18
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	7:00 AM	4	16
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	7:15 AM	6	20
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	7:30 AM	6	24
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	7:45 AM	5	22
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	8:00 AM	6	22
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	8:15 AM	6	24
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	8:30 AM	7	26
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	8:45 AM	6	26
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	9:00 AM	7	26
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	9:15 AM	7	28
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	9:30 AM	7	28
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	9:45 AM	7	28
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	10:00 AM	6	26
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	10:15 AM	8	28
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	10:30 AM	7	30
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	10:45 AM	8	30
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	11:00 AM	7	30
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	11:15 AM	8	30
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	11:30 AM	7	30
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	11:45 AM	8	30
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	12:00 PM	7	30
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	12:15 PM	8	30
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	12:30 PM	7	30
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	12:45 PM	8	30
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	1:00 PM	7	30
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	1:15 PM	8	30
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	1:30 PM	7	30
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	1:45 PM	8	30
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	2:00 PM	7	30
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	2:15 PM	6	26
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	2:30 PM	8	28
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	2:45 PM	7	30
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	3:00 PM	8	30
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	3:15 PM	7	30
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	3:30 PM	8	30
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	3:45 PM	7	30
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	4:00 PM	8	30
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	4:15 PM	7	30
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	4:30 PM	7	28
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	4:45 PM	8	30
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	5:00 PM	7	30
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	5:15 PM	7	28
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	5:30 PM	7	28
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	5:45 PM	6	26
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	6:00 PM	7	26
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	6:15 PM	6	26
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	6:30 PM	7	26
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	6:45 PM	6	26
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	7:00 PM	7	26
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	7:15 PM	6	26
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	7:30 PM	7	26
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	7:45 PM	6	26
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	8:00 PM	7	26
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	8:15 PM	7	28
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	8:30 PM	6	26
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	8:45 PM	7	26
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	9:00 PM	6	26
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	9:15 PM	6	24
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	9:30 PM	6	24
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	9:45 PM	6	24
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	10:00 PM	6	24
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	10:15 PM	5	22
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	10:30 PM	5	20
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	10:45 PM	5	20
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	11:00 PM	5	20
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	11:15 PM	5	20
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	11:30 PM	5	20
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	11:45 PM	5	20
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	12:00 AM	5	22
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	12:15 AM	6	22
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	12:30 AM	5	22
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	12:45 AM	6	22
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	1:00 AM	5	22
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	1:15 AM	6	22
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	1:30 AM	5	22
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	1:45 AM	4	18
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	2:00 AM	4	16
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	2:15 AM	4	16
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	2:30 AM	4	16
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	2:45 AM	4	16
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	3:00 AM	4	16
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	3:15 AM	4	16
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	3:30 AM	4	16
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	3:45 AM	4	16
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	4:00 AM	4	16
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	4:15 AM	4	16
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	4:30 AM	4	16
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	4:45 AM	4	16
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	5:00 AM	4	16
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	5:15 AM	4	16
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	5:30 AM	4	16
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	5:45 AM	4	16
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	6:00 AM	4	16
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	6:15 AM	4	16
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	6:30 AM	4	16
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	6:45 AM	4	16
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	7:00 AM	5	18
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	7:15 AM	6	22
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	7:30 AM	5	22
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	7:45 AM	6	22
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	8:00 AM	6	24
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	8:15 AM	6	24
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	8:30 AM	6	24
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	8:45 AM	7	26
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	9:00 AM	6	26
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	9:15 AM	7	26
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	9:30 AM	7	28
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	9:45 AM	8	30
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	10:00 AM	7	30
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	10:15 AM	8	30
345P-LADDE	LADDER CAPITAL	kWh	KW	5/14/2012	1136	32	345P11	10:30 AM	8	32
